index,IMDb_id,name_film,year,name_actor,gender,age_Actor_At_fil_release,race,character,ActorFirstName,ActorSurname,CharFirstName,CharSurname,preds,probs
0,tt1016150,Im Westen nichts Neues,2022-10-07,Felix Kammerer,2.0,27.0,NaN,Paul Bäumer,Felix,Kammerer,Paul,Baumer,nh_white,"{'asian': 0.006904397, 'hispanic': 0.016972711, 'nh_black': 0.0025798592, 'nh_white': 0.96206725, 'other': 0.011475695}"
1,tt1016150,Im Westen nichts Neues,2022-10-07,Albrecht Schuch,2.0,37.0,NaN,"Stanislaus ""Kat"" Katczinsky",Albrecht,Schuch,Stanislaus,Kat Katczinsky,nh_white,"{'asian': 0.0032400966, 'hispanic': 0.041593373, 'nh_black': 0.0043893433, 'nh_white': 0.94313556, 'other': 0.007641624}"
2,tt1016150,Im Westen nichts Neues,2022-10-07,Aaron Hilmer,2.0,23.0,NaN,Albert Kropp,Aaron,Hilmer,Albert,Kropp,nh_white,"{'asian': 0.0031444228, 'hispanic': 0.015635086, 'nh_black': 0.060191482, 'nh_white': 0.9167914, 'other': 0.0042376295}"
3,tt1016150,Im Westen nichts Neues,2022-10-07,Moritz Klaus,2.0,NaN,NaN,Franz Müller,Moritz,Klaus,Franz,Muller,nh_white,"{'asian': 0.002412406, 'hispanic': 0.019294513, 'nh_black': 0.004869995, 'nh_white': 0.96880203, 'other': 0.0046209833}"
4,tt1016150,Im Westen nichts Neues,2022-10-07,Adrian Grünewald,2.0,NaN,NaN,Ludwig Behm,Adrian,Grunewald,Ludwig,Behm,nh_white,"{'asian': 0.0039426824, 'hispanic': 0.025735572, 'nh_black': 0.004412842, 'nh_white': 0.9588151, 'other': 0.007093787}"
5,tt1016150,Im Westen nichts Neues,2022-10-07,Edin Hasanović,2.0,30.0,NaN,Tjaden Stackfleet,Edin,Hasanovic,Tjaden,Stackfleet,nh_white,"{'asian': 0.004929229, 'hispanic': 0.024263574, 'nh_black': 0.0017441228, 'nh_white': 0.95446223, 'other': 0.014600923}"
6,tt1016150,Im Westen nichts Neues,2022-10-07,Daniel Brühl,2.0,44.0,NaN,Matthias Erzberger,Daniel,Bruhl,Matthias,Erzberger,nh_white,"{'asian': 0.0025271724, 'hispanic': 0.015254381, 'nh_black': 0.022974376, 'nh_white': 0.95540816, 'other': 0.0038359202}"
7,tt1016150,Im Westen nichts Neues,2022-10-07,Thibault de Montalembert,2.0,60.0,NaN,General Ferdinand Foch,Thibault,de Montalembert,General,Ferdinand Foch,nh_white,"{'asian': 0.012884124, 'hispanic': 0.16558, 'nh_black': 0.060066495, 'nh_white': 0.74556357, 'other': 0.015905779}"
8,tt1016150,Im Westen nichts Neues,2022-10-07,Devid Striesow,2.0,49.0,NaN,General Friedrichs,Devid,Striesow,General,Friedrichs,nh_white,"{'asian': 0.0031343913, 'hispanic': 0.024898905, 'nh_black': 0.017977586, 'nh_white': 0.94735587, 'other': 0.006633257}"
9,tt1016150,Im Westen nichts Neues,2022-10-07,Andreas Döhler,2.0,48.0,NaN,Lieutenant Hoppe,Andreas,Dohler,Lieutenant,Hoppe,nh_white,"{'asian': 0.0047092033, 'hispanic': 0.015661381, 'nh_black': 0.0059449, 'nh_white': 0.9709908, 'other': 0.0026937053}"
10,tt10199590,Les Misérables,2019-11-14,Damien Bonnard,2.0,41.0,NaN,"Brigadier Stéphane Ruiz, aka Pento",Damien,Bonnard,Brigadier,"Stephane Ruiz, aka Pento",nh_white,"{'asian': 0.005016665, 'hispanic': 0.021370454, 'nh_black': 0.099170856, 'nh_white': 0.8703979, 'other': 0.00404413}"
11,tt10199590,Les Misérables,2019-11-14,Damien Bonnard,2.0,41.0,NaN,"Brigadier Stéphane Ruiz, aka Pento",Damien,Bonnard,Brigadier,"Stephane Ruiz, aka Pento",nh_white,"{'asian': 0.005016665, 'hispanic': 0.021370454, 'nh_black': 0.099170856, 'nh_white': 0.8703979, 'other': 0.00404413}"
12,tt10199590,Les Misérables,2019-11-14,Steve Tientcheu,2.0,37.0,NaN,The Mayor,Steve,Tientcheu,The,Mayor,nh_white,"{'asian': 0.0021643601, 'hispanic': 0.07225422, 'nh_black': 0.011814182, 'nh_white': 0.9027745, 'other': 0.010992754}"
13,tt10199590,Les Misérables,2019-11-14,Jeanne Balibar,1.0,51.0,NaN,The Comissioner,Jeanne,Balibar,The,Comissioner,nh_white,"{'asian': 0.20184523, 'hispanic': 0.10255653, 'nh_black': 0.059268273, 'nh_white': 0.48878497, 'other': 0.14754497}"
14,tt10199590,Les Misérables,2019-11-14,Nizar Ben Fatma,2.0,NaN,NaN,'La Pince',Nizar,Ben Fatma,'La,Pince',nh_white,"{'asian': 0.009491411, 'hispanic': 0.08913805, 'nh_black': 0.042542703, 'nh_white': 0.8167514, 'other': 0.042076442}"
15,tt10272386,The Father,2020-12-23,Mark Gatiss,2.0,54.0,NaN,The Man,Mark,Gatiss,The,Man,nh_white,"{'asian': 0.008680578, 'hispanic': 0.19411263, 'nh_black': 0.08314087, 'nh_white': 0.6969951, 'other': 0.017070938}"
16,tt10272386,The Father,2020-12-23,Mark Gatiss,2.0,54.0,NaN,The Man,Mark,Gatiss,The,Man,nh_white,"{'asian': 0.008680578, 'hispanic': 0.19411263, 'nh_black': 0.08314087, 'nh_white': 0.6969951, 'other': 0.017070938}"
17,tt10272386,The Father,2020-12-23,Olivia Williams,1.0,52.0,NaN,The Woman,Olivia,Williams,The,Woman,nh_black,"{'asian': 0.0024074756, 'hispanic': 0.013209573, 'nh_black': 0.8431264, 'nh_white': 0.13007233, 'other': 0.011184308}"
18,tt10272386,The Father,2020-12-23,Olivia Williams,1.0,52.0,NaN,The Woman,Olivia,Williams,The,Woman,nh_black,"{'asian': 0.0024074756, 'hispanic': 0.013209573, 'nh_black': 0.8431264, 'nh_white': 0.13007233, 'other': 0.011184308}"
19,tt10272386,The Father,2020-12-23,Olivia Williams,1.0,52.0,NaN,The Woman,Olivia,Williams,The,Woman,nh_black,"{'asian': 0.0024074756, 'hispanic': 0.013209573, 'nh_black': 0.8431264, 'nh_white': 0.13007233, 'other': 0.011184308}"
20,tt10272386,The Father,2020-12-23,Olivia Williams,1.0,52.0,NaN,The Woman,Olivia,Williams,The,Woman,nh_black,"{'asian': 0.0024074756, 'hispanic': 0.013209573, 'nh_black': 0.8431264, 'nh_white': 0.13007233, 'other': 0.011184308}"
21,tt10272386,The Father,2020-12-23,Olivia Williams,1.0,52.0,NaN,The Woman,Olivia,Williams,The,Woman,nh_black,"{'asian': 0.0024074756, 'hispanic': 0.013209573, 'nh_black': 0.8431264, 'nh_white': 0.13007233, 'other': 0.011184308}"
22,tt10272386,The Father,2020-12-23,Ayesha Dharker,1.0,42.0,NaN,Dr. Sarai,Ayesha,Dharker,Dr,Sarai,asian,"{'asian': 0.46895212, 'hispanic': 0.02715016, 'nh_black': 0.049795877, 'nh_white': 0.31953585, 'other': 0.13456592}"
23,tt10272386,The Father,2020-12-23,Evie Wray,1.0,NaN,NaN,Lucy (uncredited),Evie,Wray,Lucy,(uncredited),nh_white,"{'asian': 0.005316791, 'hispanic': 0.0116059305, 'nh_black': 0.17430429, 'nh_white': 0.8032013, 'other': 0.005571662}"
24,tt10272386,The Father,2020-12-23,Brian Rodger,0.0,NaN,NaN,Hospital Visitor (uncredited),Brian,Rodger,Hospital,Visitor (uncredited),nh_white,"{'asian': 0.0025618942, 'hispanic': 0.02034306, 'nh_black': 0.1493995, 'nh_white': 0.8240555, 'other': 0.0036399742}"
25,tt10293406,The Power of the Dog,2021-10-25,Benedict Cumberbatch,2.0,45.0,NaN,Phil Burbank,Benedict,Cumberbatch,Phil,Burbank,nh_white,"{'asian': 0.0023134386, 'hispanic': 0.033321485, 'nh_black': 0.23683585, 'nh_white': 0.71724766, 'other': 0.010281571}"
26,tt10293406,The Power of the Dog,2021-10-25,Benedict Cumberbatch,2.0,45.0,NaN,Phil Burbank,Benedict,Cumberbatch,Phil,Burbank,nh_white,"{'asian': 0.0023134386, 'hispanic': 0.033321485, 'nh_black': 0.23683585, 'nh_white': 0.71724766, 'other': 0.010281571}"
27,tt10293406,The Power of the Dog,2021-10-25,Kodi Smit-McPhee,2.0,25.0,NaN,Peter Gordon,Kodi,Smit-McPhee,Peter,Gordon,nh_black,"{'asian': 0.0016299287, 'hispanic': 0.008476653, 'nh_black': 0.77402383, 'nh_white': 0.18727654, 'other': 0.028592966}"
28,tt10293406,The Power of the Dog,2021-10-25,Kodi Smit-McPhee,2.0,25.0,NaN,Peter Gordon,Kodi,Smit-McPhee,Peter,Gordon,nh_black,"{'asian': 0.0016299287, 'hispanic': 0.008476653, 'nh_black': 0.77402383, 'nh_white': 0.18727654, 'other': 0.028592966}"
29,tt10293406,The Power of the Dog,2021-10-25,Kirsten Dunst,1.0,39.0,NaN,Rose Gordon,Kirsten,Dunst,Rose,Gordon,nh_white,"{'asian': 0.0055586407, 'hispanic': 0.02788483, 'nh_black': 0.095528856, 'nh_white': 0.8672201, 'other': 0.0038074604}"
30,tt10293406,The Power of the Dog,2021-10-25,Kirsten Dunst,1.0,39.0,NaN,Rose Gordon,Kirsten,Dunst,Rose,Gordon,nh_white,"{'asian': 0.0055586407, 'hispanic': 0.02788483, 'nh_black': 0.095528856, 'nh_white': 0.8672201, 'other': 0.0038074604}"
31,tt10293406,The Power of the Dog,2021-10-25,Jesse Plemons,2.0,33.0,NaN,George Burbank,Jesse,Plemons,George,Burbank,nh_white,"{'asian': 0.0053687263, 'hispanic': 0.022704182, 'nh_black': 0.16149697, 'nh_white': 0.80459857, 'other': 0.0058316058}"
32,tt10293406,The Power of the Dog,2021-10-25,Jesse Plemons,2.0,33.0,NaN,George Burbank,Jesse,Plemons,George,Burbank,nh_white,"{'asian': 0.0053687263, 'hispanic': 0.022704182, 'nh_black': 0.16149697, 'nh_white': 0.80459857, 'other': 0.0058316058}"
33,tt10293406,The Power of the Dog,2021-10-25,Geneviève Lemon,1.0,63.0,NaN,Mrs. Lewis,Genevieve,Lemon,Mrs,Lewis,nh_white,"{'asian': 0.031009266, 'hispanic': 0.084492266, 'nh_black': 0.16576156, 'nh_white': 0.7079538, 'other': 0.010783019}"
34,tt10293406,The Power of the Dog,2021-10-25,Keith Carradine,2.0,72.0,NaN,The Governor,Keith,Carradine,The,Governor,nh_white,"{'asian': 0.004866619, 'hispanic': 0.06240799, 'nh_black': 0.097278304, 'nh_white': 0.82563615, 'other': 0.009810929}"
35,tt10293406,The Power of the Dog,2021-10-25,Frances Conroy,1.0,68.0,NaN,Old Lady,Frances,Conroy,Old,Lady,nh_white,"{'asian': 0.010977149, 'hispanic': 0.064280145, 'nh_black': 0.07218954, 'nh_white': 0.84639466, 'other': 0.00615848}"
36,tt10293406,The Power of the Dog,2021-10-25,Frances Conroy,1.0,68.0,NaN,Old Lady,Frances,Conroy,Old,Lady,nh_white,"{'asian': 0.010977149, 'hispanic': 0.064280145, 'nh_black': 0.07218954, 'nh_white': 0.84639466, 'other': 0.00615848}"
37,tt10366460,CODA,2021-08-11,Emilia Jones,1.0,19.0,NaN,Ruby Rossi,Emilia,Jones,Ruby,Rossi,nh_white,"{'asian': 0.0058141486, 'hispanic': 0.020578021, 'nh_black': 0.30750337, 'nh_white': 0.6585411, 'other': 0.007563413}"
38,tt10366460,CODA,2021-08-11,Emilia Jones,1.0,19.0,NaN,Ruby Rossi,Emilia,Jones,Ruby,Rossi,nh_white,"{'asian': 0.0058141486, 'hispanic': 0.020578021, 'nh_black': 0.30750337, 'nh_white': 0.6585411, 'other': 0.007563413}"
39,tt10366460,CODA,2021-08-11,Emilia Jones,1.0,19.0,NaN,Ruby Rossi,Emilia,Jones,Ruby,Rossi,nh_white,"{'asian': 0.0058141486, 'hispanic': 0.020578021, 'nh_black': 0.30750337, 'nh_white': 0.6585411, 'other': 0.007563413}"
40,tt10366460,CODA,2021-08-11,Marlee Matlin,1.0,56.0,NaN,Jackie Rossi,Marlee,Matlin,Jackie,Rossi,nh_white,"{'asian': 0.03177619, 'hispanic': 0.04381872, 'nh_black': 0.089711644, 'nh_white': 0.8264139, 'other': 0.008279498}"
41,tt10366460,CODA,2021-08-11,Troy Kotsur,2.0,53.0,NaN,Frank Rossi,Troy,Kotsur,Frank,Rossi,nh_white,"{'asian': 0.064631976, 'hispanic': 0.019075518, 'nh_black': 0.0031388844, 'nh_white': 0.89907444, 'other': 0.014079242}"
42,tt10366460,CODA,2021-08-11,Eugenio Derbez,2.0,59.0,NaN,Bernardo Villalobos,Eugenio,Derbez,Bernardo,Villalobos,nh_white,"{'asian': 0.018252935, 'hispanic': 0.116445996, 'nh_black': 0.039373595, 'nh_white': 0.81151605, 'other': 0.014411405}"
