,title,country,year_x,lgtb,tconst
1,10 Attitudes, US ,2001.0,1,tt0312297
2,10 Men, UK ,2012.0,1,tt3512482
3,The 10 Year Plan, US ,2014.0,1,tt3239442
5,12 Points, Austria ,2015.0,1,tt4666582
6,101 Rent Boys, US ,2000.0,1,tt0252802
7,101 Reykjavík, Iceland/Denmark/Norway/France ,2000.0,1,tt0237993
8,14h05, France/Switzerland ,2007.0,1,tt1139264
10,15 Years, Israel ,2019.0,1,tt9779804
11,2 Minutes Later, US ,2007.0,1,tt0892033
12,200 American, US ,2003.0,1,tt0387805
13,24 Nights, US ,1999.0,1,tt0133327
14,The 24th Day, US ,2004.0,1,tt0246404
15,3-Day Weekend, US ,2008.0,1,tt1137994
16,3 Generations, US ,2015.0,1,tt4158624
17,30 Years from Here, US ,2011.0,1,tt2129856
18,4th Man Out, US ,2015.0,1,tt3978720
19,5ive Girls, Canada ,2006.0,1,tt0494199
21,52 Tuesdays, Australia ,2013.0,1,tt3100636
22,'68, US ,1988.0,1,tt0094587
24,68 Pages, India ,2007.0,1,tt1151299
25,"7 mujeres, 1 homosexual y Carlos", Mexico ,2004.0,1,tt0395429
26,8: The Mormon Proposition, US ,2010.0,1,tt1484522
27,88 Minutes, US ,2007.0,1,tt0411061
29,9 Dead Gay Guys, UK ,2002.0,1,tt0336910
30,Aaron... Albeit a Sex Hero, US ,2009.0,1,tt1387312
33,Academy, Australia/Japan ,2007.0,1,tt1039885
38,Across the Universe, US ,2007.0,1,tt0445922
48,An Act of Valour, UK ,2010.0,1,tt1625032
62,Adam, US ,2019.0,1,tt10101006
63,Adam, US ,2019.0,1,tt10199664
64,Adam, US ,2019.0,1,tt10291640
66,Adam, US ,2019.0,1,tt10601540
70,Adam, US ,2019.0,1,tt11183508
72,Adam, US ,2019.0,1,tt11509174
146,Adam, US ,2019.0,1,tt6316466
162,Adam, US ,2019.0,1,tt8829578
166,Adam, US ,2019.0,1,tt9716584
167,Adam, US ,2019.0,1,tt9748662
168,Adam & Steve, US ,2005.0,1,tt0372122
171,The Adjuster, Canada ,1991.0,1,tt0101273
175,The Adonis Factor, US ,2010.0,1,tt1563778
176,The Adventure of Iron Pussy, Thailand ,2003.0,1,tt0387015
177,"The Adventures of Priscilla, Queen of the Desert", Australia ,1994.0,1,tt0109045
178,The Adventures of Sebastian Cole, US ,1998.0,1,tt0168449
179,Advise & Consent, US ,1962.0,1,tt0055728
184,Affinity, UK ,2008.0,1,tt1116182
185,Affinity, UK ,2008.0,1,tt1248895
190,Affinity, UK ,2008.0,1,tt22468622
201,After Hours, US ,1985.0,1,tt0086858
202,After Hours, US ,1985.0,1,tt0088680
319,After Louie, US ,2017.0,1,tt5974044
322,After Sex, US ,2007.0,1,tt0465375
325,After Stonewall, US ,1999.0,1,tt0244955
326,Afternoon Breezes, Japan ,1980.0,1,tt0080335
327,AKA, UK ,2002.0,1,tt0317052
337,Akron, US ,2015.0,1,tt3544014
338,Alaska Is a Drag, US ,2012.0,1,tt2481138
340,Albert Nobbs, Ireland/UK ,2011.0,1,tt1602098
341,Aleksandr's Price, US ,2013.0,1,tt2215515
342,Alex and the Handyman, US ,2017.0,1,tt7356144
345,Alexander, US ,2004.0,1,tt0346491
363,Alexander, US ,2004.0,1,tt8686624
364,Alexander: The Other Side of Dawn, US ,1977.0,1,tt0075655
